Latitude,Longitude,ValidDate,AQI,PM2.5,PM10,O3,NO2,CO,SO2
38.610315,-121.381541,09-01-25,74,6.8,17,24,5.1,0.2,0.2
38.56844,-121.49311,09-01-25,81,5.9,24,26,18.4,0.2,0.2
38.302591,-121.420838,09-01-25,60,3,25,34,2,0.2,0.2
38.683304,-121.164457,09-01-25,63,6,17,45,2,0.2,0.2
38.650716,-121.50665,09-01-25,57,6.8,17,24,5.1,0.2,0.2
38.593328,-121.503728,09-01-25,26,9,17,24,26,0.9,0.2
38.556326,-121.458499,09-01-25,26,6.8,17,24,5.1,0.2,0.2
38.494475,-121.211131,09-01-25,45,6,17,54,5.1,0.2,0.2
38.343812,-121.109977,09-01-25,39,6.8,17,24,5.1,0.2,0.2
36.843425,-121.3621,09-01-25,50,7,13,34,5.1,0.2,0.2
36.485001,-121.155602,09-01-25,46,6.8,17,52,5.1,0.2,0.2
34.894054,-117.024756,09-01-25,46,6.8,27,31,5.1,0.2,0.2
34.243132,-117.272275,09-01-25,47,4,17,63,5.1,0.2,0.2
34.425052,-117.589813,09-01-25,171,6.8,17,24,5.1,0.2,0.2
34.4101,-116.906874,09-01-25,188,6.8,23,24,5.1,0.2,0.2
34.068114,-117.525796,09-01-25,70,6.8,17,24,20.4,0.4,0.2
34.0309,-117.617403,09-01-25,17,6.8,17,24,18.9,0.2,0.2
34.510955,-117.32555,09-01-25,88,8,37,54,5.1,0.2,0.2
35.101898,-115.776703,09-01-25,69,6.8,17,24,5.1,0.2,0.2
34.10366,-117.629096,09-01-25,9,6.8,17,24,5.1,0.2,0.2
35.774455,-117.372109,09-01-25,49,6.8,18,35,5.1,0.2,0.2
34.100132,-117.491982,09-01-25,24,4.7,25,36,10,0.2,0.7
34.416506,-117.285602,09-01-25,91,6.8,27,61,5.1,0.2,0.2
34.059626,-117.147347,09-01-25,38,6.8,17,54,5.1,0.2,0.2
34.0714,-116.3906,09-01-25,26,6.8,17,70,5.1,0.2,0.2
34.106678,-117.274063,09-01-25,15,6.8,33,40,13.2,0.2,0.2
34.1941,-116.913,09-01-25,0,6.8,17,24,5.1,0.2,0.2
32.631229,-117.059074,09-01-25,6,6.8,17,24,5.1,0.2,0.2
32.791195,-116.942093,09-01-25,66,6.8,17,24,5.1,0.2,0.2
32.952087,-117.264061,09-01-25,82,6.8,17,24,5.1,0.2,0.2
33.127712,-117.075325,09-01-25,89,6.8,17,24,5.1,0.2,0.2
32.842297,-116.768326,09-01-25,12,5.8,18,36,5.1,0.2,0.2
33.217026,-117.396156,09-01-25,44,9.4,21,29,5.1,0.2,0.2
32.701492,-117.149651,09-01-25,38,6.8,17,24,5.1,0.2,0.2
32.579361,-116.929486,09-01-25,3,10.4,23,25,5.1,0.2,0.2
32.845467,-117.123894,09-01-25,23,8.1,19,29,5.1,0.2,0.2
32.543475,-117.029028,09-01-25,43,11.3,17,24,5.1,0.2,0.2
32.789561,-116.944222,09-01-25,27,6.3,16,26,5.1,0.2,0.2
32.542679,-117.030749,09-01-25,75,11.3,17,24,5.1,0.2,0.2
32.7355,-116.3454,09-01-25,49,6.8,17,24,5.1,0.2,0.2
37.7658,-122.3978,09-01-25,95,9,17,20,3.8,0.3,0.2
37.95075,-121.26897,09-01-25,9,6.8,17,24,5.1,0.2,0.2
37.8027,-121.2208,09-01-25,111,2.6,25,24,5.1,0.2,0.2
37.6825,-121.4406,09-01-25,31,11,11,38,2.4,0.2,0.2
35.614668,-120.656912,09-01-25,21,6.8,45,43,5.1,0.2,0.2
35.283901,-120.654198,09-01-25,4,6.8,17,24,5.1,0.2,0.2
35.02079,-120.56389,09-01-25,42,5,33,24,5.1,0.2,0.2
35.25651,-120.6693,09-01-25,25,6.8,17,24,5.1,0.2,0.2
35.04676,-120.58777,09-01-25,33,11,40,24,5.1,0.2,0.2
35.36639,-120.8426,09-01-25,6,6.8,17,25,5.1,0.2,0.2
35.0315,-120.50101,09-01-25,45,6.8,41,20,1.2,0.2,0.2
35.4914,-120.6681,09-01-25,55,6,19,30,5.9,0.2,0.2
35.494556,-120.666203,09-01-25,32,6,19,30,5.9,0.2,0.2
35.64366,-120.23134,09-01-25,25,6.8,17,57,5.1,0.2,0.2
35.35474,-120.04013,09-01-25,46,6.8,52,55,5.1,0.2,0.2
37.4828,-122.2022,09-01-25,5,8,17,24,5.1,0.2,0.2
34.462502,-120.024399,09-01-25,95,6.8,17,24,5.1,0.2,0.2
34.42775,-119.69091,09-01-25,10,15,38,22,5.1,0.2,0.2
34.942872,-120.435611,09-01-25,22,6.8,17,24,5.1,0.2,0.2
34.7256,-120.4278,09-01-25,76,6.8,17,16,5.1,0.2,0.2
34.5414,-119.7906,09-01-25,41,6.8,17,46,5.1,0.2,0.2
34.5275,-120.1956,09-01-25,53,6.8,17,24,5.1,0.2,0.2
34.402802,-119.457497,09-01-25,3,6.8,17,24,5.1,0.2,0.2
34.4897,-120.0458,09-01-25,73,6.8,22,33,5.1,0.2,0.2
34.637798,-120.456703,09-01-25,16,9,24,21,5.1,0.2,0.2
34.445301,-119.827797,09-01-25,26,6.8,17,24,5.1,0.2,0.2
34.605819,-120.07506,09-01-25,68,6,17,30,5.1,0.2,0.2
34.5961,-120.6303,09-01-25,25,6.8,17,24,5.1,0.2,0.2
36.999571,-121.574684,09-01-25,22,3,17,38,5.1,0.2,0.2
37.3483,-121.8947,09-01-25,37,9,17,31,3.8,0.1,0.2
37.338202,-121.849892,09-01-25,71,7,17,24,15.2,0.4,0.2
37.2267,-121.9786,09-01-25,3,6.8,17,22,5.1,0.2,0.2
37.0792,-121.5994,09-01-25,81,6.8,17,35,5.1,0.2,0.2
37.318439,-122.069702,09-01-25,29,6.8,17,24,5.1,0.2,0.2
37.011902,-122.193298,09-01-25,22,6.8,17,24,5.1,0.2,0.2
36.98332,-121.98822,09-01-25,40,8,17,23,5.1,0.2,0.2
37.072092,-121.007631,09-01-25,149,6.8,17,24,5.1,0.2,0.2
37.048089,-122.074664,09-01-25,87,6.8,17,24,5.1,0.2,0.2
37.060738,-122.083493,09-01-25,46,6.8,17,24,5.1,0.2,0.2
37.067003,-122.057206,09-01-25,15,6.8,17,24,5.1,0.2,0.2
37.0481,-122.074603,09-01-25,60,6.8,17,24,5.1,0.2,0.2
37.063381,-122.081072,09-01-25,20,6.8,17,24,5.1,0.2,0.2
37.125861,-122.122127,09-01-25,25,6.8,17,24,5.1,0.2,0.2
37.084458,-122.076311,09-01-25,94,6.8,17,24,5.1,0.2,0.2
40.5497,-122.3792,09-01-25,12,-3,17,30,5.1,0.2,0.2
40.4531,-122.2978,09-01-25,18,6.8,17,24,5.1,0.2,0.2
40.6894,-122.4024,09-01-25,91,6.8,17,31,5.1,0.2,0.2
40.5403,-121.5764,09-01-25,75,6.8,17,40,5.1,0.2,0.2
41.72679,-122.63359,09-01-25,93,107,17,56,5.1,0.2,0.2
38.102507,-122.237976,09-01-25,55,10,17,29,4.4,0.4,0.6
38.227066,-122.075624,09-01-25,5,6.8,17,33,5.1,0.2,0.2
38.356556,-121.949853,09-01-25,140,8,17,21,5.1,0.2,0.2
38.167297,-121.688561,09-01-25,118,8,17,24,5.1,0.2,0.2
38.4431,-122.7097,09-01-25,107,6.8,17,24,5.1,0.2,0.2
38.403765,-122.818294,09-01-25,53,9,17,21,1.1,0.2,0.2
37.642165,-120.994212,09-01-25,40,6,27,45,5.1,0.2,0.2
37.4883,-120.8358,09-01-25,32,8,37,47,3.9,0.2,0.2
32.7355,-116.3454,09-01-25,66,6.8,17,24,5.1,0.2,0.2
